intern_id,task_id,week,completion_status,completion_score,submission_text,updated_at
I001,T销01,1,in_progress,64,已提交：产品卖点总结,2026-06-03
I001,T销02,2,in_progress,69,已提交：客户画像卡片,2026-06-01
I002,T研01,1,at_risk,56,已提交：环境截图与运行记录,2026-06-01
I002,T研02,2,in_progress,60,已提交：代码结构说明文档,2026-06-01
I003,T销01,1,completed,99,已提交：产品卖点总结,2026-06-06
I003,T销02,2,in_progress,84,已提交：客户画像卡片,2026-06-01
I003,T销03,3,completed,92,已提交：沟通复盘记录,2026-06-07
I004,T研01,1,in_progress,63,已提交：环境截图与运行记录,2026-06-02
I004,T研02,2,in_progress,62,已提交：代码结构说明文档,2026-06-07
I004,T研03,3,in_progress,62,已提交：代码提交记录,2026-06-07
I005,T产01,1,in_progress,73,已提交：PRD 阅读笔记,2026-06-03
I005,T产02,2,in_progress,74,已提交：竞品分析表,2026-06-07
I005,T产03,3,in_progress,60,已提交：会议纪要与问题清单,2026-06-06
I005,T产04,4,in_progress,66,已提交：原型链接与说明,2026-06-04
I005,T产05,5,in_progress,80,已提交：数据反馈分析,2026-06-05
I006,T销01,1,in_progress,68,已提交：产品卖点总结,2026-06-03
I006,T销02,2,at_risk,51,已提交：客户画像卡片,2026-06-01
I006,T销03,3,in_progress,66,已提交：沟通复盘记录,2026-06-01
I006,T销04,4,at_risk,55,已提交：拜访话术与问题清单,2026-06-05
I007,T研01,1,in_progress,80,已提交：环境截图与运行记录,2026-06-04
I007,T研02,2,in_progress,81,已提交：代码结构说明文档,2026-06-04
I007,T研03,3,in_progress,83,已提交：代码提交记录,2026-06-02
I007,T研04,4,in_progress,80,已提交：评审记录与改进清单,2026-06-06
I008,T研01,1,in_progress,66,已提交：环境截图与运行记录,2026-06-02
I008,T研02,2,in_progress,63,已提交：代码结构说明文档,2026-06-02
I008,T研03,3,in_progress,64,已提交：代码提交记录,2026-06-05
I008,T研04,4,in_progress,65,已提交：评审记录与改进清单,2026-06-02
I008,T研05,5,in_progress,66,已提交：功能说明与测试记录,2026-06-07
I009,T产01,1,completed,95,已提交：PRD 阅读笔记,2026-06-03
I009,T产02,2,completed,89,已提交：竞品分析表,2026-06-05
I009,T产03,3,completed,97,已提交：会议纪要与问题清单,2026-06-02
I009,T产04,4,completed,90,已提交：原型链接与说明,2026-06-05
I009,T产05,5,completed,90,已提交：数据反馈分析,2026-06-07
I010,T销01,1,in_progress,82,已提交：产品卖点总结,2026-06-03
I010,T销02,2,in_progress,76,已提交：客户画像卡片,2026-06-07
I010,T销03,3,completed,85,已提交：沟通复盘记录,2026-06-02
I010,T销04,4,in_progress,81,已提交：拜访话术与问题清单,2026-06-02
I010,T销05,5,completed,87,已提交：线索跟进记录,2026-06-01
I011,T产01,1,at_risk,59,已提交：PRD 阅读笔记,2026-06-04
I011,T产02,2,at_risk,56,已提交：竞品分析表,2026-06-02
I011,T产03,3,at_risk,54,已提交：会议纪要与问题清单,2026-06-03
I012,T研01,1,in_progress,78,已提交：环境截图与运行记录,2026-06-01
I012,T研02,2,in_progress,84,已提交：代码结构说明文档,2026-06-04
I013,T研01,1,in_progress,84,已提交：环境截图与运行记录,2026-06-02
I013,T研02,2,in_progress,83,已提交：代码结构说明文档,2026-06-07
I013,T研03,3,completed,100,已提交：代码提交记录,2026-06-02
I014,T产01,1,completed,96,已提交：PRD 阅读笔记,2026-06-04
I014,T产02,2,in_progress,79,已提交：竞品分析表,2026-06-06
I015,T研01,1,at_risk,58,已提交：环境截图与运行记录,2026-06-05
I015,T研02,2,in_progress,64,已提交：代码结构说明文档,2026-06-02
I016,T销01,1,at_risk,58,已提交：产品卖点总结,2026-06-05
I016,T销02,2,in_progress,71,已提交：客户画像卡片,2026-06-07
I016,T销03,3,in_progress,67,已提交：沟通复盘记录,2026-06-04
I016,T销04,4,in_progress,71,已提交：拜访话术与问题清单,2026-06-03
I016,T销05,5,in_progress,61,已提交：线索跟进记录,2026-06-01
I017,T产01,1,at_risk,55,已提交：PRD 阅读笔记,2026-06-06
I017,T产02,2,at_risk,57,已提交：竞品分析表,2026-06-07
I017,T产03,3,in_progress,68,已提交：会议纪要与问题清单,2026-06-05
I017,T产04,4,at_risk,50,已提交：原型链接与说明,2026-06-07
I018,T研01,1,completed,87,已提交：环境截图与运行记录,2026-06-07
I018,T研02,2,completed,85,已提交：代码结构说明文档,2026-06-02
I018,T研03,3,completed,90,已提交：代码提交记录,2026-06-01
I018,T研04,4,completed,98,已提交：评审记录与改进清单,2026-06-05
I018,T研05,5,completed,97,已提交：功能说明与测试记录,2026-06-04
I019,T销01,1,in_progress,83,已提交：产品卖点总结,2026-06-05
I019,T销02,2,in_progress,62,已提交：客户画像卡片,2026-06-07
I019,T销03,3,in_progress,83,已提交：沟通复盘记录,2026-06-05
I019,T销04,4,in_progress,66,已提交：拜访话术与问题清单,2026-06-07
I020,T产01,1,at_risk,38,已提交：PRD 阅读笔记,2026-06-02
I020,T产02,2,at_risk,45,已提交：竞品分析表,2026-06-02
I020,T产03,3,at_risk,38,已提交：会议纪要与问题清单,2026-06-01
I020,T产04,4,at_risk,41,已提交：原型链接与说明,2026-06-07
