task_id,role,week,task_name,task_description,expected_output,weight
T研01,研发,1,完成开发环境配置,第 1 周完成完成开发环境配置，沉淀可复用材料。,环境截图与运行记录,20
T研02,研发,2,阅读项目代码结构,第 2 周完成阅读项目代码结构，沉淀可复用材料。,代码结构说明文档,20
T研03,研发,3,修复一个低风险缺陷,第 3 周完成修复一个低风险缺陷，沉淀可复用材料。,代码提交记录,20
T研04,研发,4,参与一次代码评审,第 4 周完成参与一次代码评审，沉淀可复用材料。,评审记录与改进清单,20
T研05,研发,5,完成一个小型功能开发,第 5 周完成完成一个小型功能开发，沉淀可复用材料。,功能说明与测试记录,20
T产01,产品,1,阅读已有 PRD,第 1 周完成阅读已有 PRD，沉淀可复用材料。,PRD 阅读笔记,20
T产02,产品,2,完成竞品分析,第 2 周完成完成竞品分析，沉淀可复用材料。,竞品分析表,20
T产03,产品,3,参与需求评审,第 3 周完成参与需求评审，沉淀可复用材料。,会议纪要与问题清单,20
T产04,产品,4,输出一个小需求原型,第 4 周完成输出一个小需求原型，沉淀可复用材料。,原型链接与说明,20
T产05,产品,5,跟进一次上线反馈,第 5 周完成跟进一次上线反馈，沉淀可复用材料。,数据反馈分析,20
T销01,销售,1,熟悉产品卖点,第 1 周完成熟悉产品卖点，沉淀可复用材料。,产品卖点总结,20
T销02,销售,2,完成客户画像学习,第 2 周完成完成客户画像学习，沉淀可复用材料。,客户画像卡片,20
T销03,销售,3,旁听一次客户沟通,第 3 周完成旁听一次客户沟通，沉淀可复用材料。,沟通复盘记录,20
T销04,销售,4,准备一次模拟拜访,第 4 周完成准备一次模拟拜访，沉淀可复用材料。,拜访话术与问题清单,20
T销05,销售,5,跟进一个销售线索,第 5 周完成跟进一个销售线索，沉淀可复用材料。,线索跟进记录,20
